date,session_key,driver_number,meeting_key,gap_to_leader,interval
2025-12-07T13:27:10.872000+00:00,9839,18,1276,23.897,0.195
2025-12-07T13:27:11.244000+00:00,9839,81,1276,1.851,1.851
2025-12-07T13:27:11.744000+00:00,9839,12,1276,24.771,0.874
2025-12-07T13:27:12.097000+00:00,9839,14,1276,11.926,4.33
2025-12-07T13:27:12.265000+00:00,9839,43,1276,54.055,3.04
2025-12-07T13:27:12.344000+00:00,9839,30,1276,22.635,2.159
2025-12-07T13:27:12.360000+00:00,9839,44,1276,32.781,1.757
2025-12-07T13:27:12.404000+00:00,9839,63,1276,31.001,6.144
2025-12-07T13:27:12.480000+00:00,9839,31,1276,19.289,7.554
2025-12-07T13:27:13.473000+00:00,9839,55,1276,23.713,1.078
2025-12-07T13:27:13.489000+00:00,9839,18,1276,23.714,0.001
2025-12-07T13:27:13.494000+00:00,9839,10,1276,50.994,7.704
2025-12-07T13:27:13.639000+00:00,9839,27,1276,34.049,1.268
2025-12-07T13:27:13.655000+00:00,9839,22,1276,20.427,1.138
2025-12-07T13:27:14.139000+00:00,9839,81,1276,1.875,1.875
2025-12-07T13:27:14.244000+00:00,9839,87,1276,43.295,3.797
2025-12-07T13:27:14.244000+00:00,9839,44,1276,32.795,1.794
2025-12-07T13:27:14.244000+00:00,9839,14,1276,11.877,4.307
2025-12-07T13:27:14.345000+00:00,9839,12,1276,24.633,0.919
2025-12-07T13:27:14.746000+00:00,9839,4,1276,5.342,3.491
2025-12-07T13:27:15.461000+00:00,9839,27,1276,34.064,1.269
2025-12-07T13:27:15.613000+00:00,9839,5,1276,36.048,1.999
2025-12-07T13:27:15.849000+00:00,9839,30,1276,22.662,2.235
2025-12-07T13:27:16.165000+00:00,9839,31,1276,19.566,7.652
2025-12-07T13:27:16.594000+00:00,9839,43,1276,54.141,3.147
2025-12-07T13:27:16.697000+00:00,9839,23,1276,37.145,1.097
2025-12-07T13:27:16.830000+00:00,9839,18,1276,23.638,0.976
2025-12-07T13:27:17.178000+00:00,9839,16,1276,7.776,2.434
2025-12-07T13:27:17.282000+00:00,9839,55,1276,24.072,0.434
2025-12-07T13:27:17.302000+00:00,9839,22,1276,20.722,1.156
2025-12-07T13:27:17.476000+00:00,9839,5,1276,36.061,1.997
2025-12-07T13:27:17.582000+00:00,9839,81,1276,1.835,1.835
2025-12-07T13:27:17.681000+00:00,9839,4,1276,5.401,3.526
2025-12-07T13:27:17.813000+00:00,9839,12,1276,24.648,0.576
2025-12-07T13:27:17.964000+00:00,9839,63,1276,30.993,6.222
2025-12-07T13:27:18.545000+00:00,9839,23,1276,37.136,1.075
2025-12-07T13:27:18.577000+00:00,9839,10,1276,51.008,7.703
2025-12-07T13:27:19.121000+00:00,9839,6,1276,39.564,2.419
2025-12-07T13:27:19.493000+00:00,9839,30,1276,22.916,2.194
2025-12-07T13:27:19.755000+00:00,9839,44,1276,32.793,1.8
2025-12-07T13:27:19.765000+00:00,9839,31,1276,19.584,7.658
2025-12-07T13:27:20.124000+00:00,9839,16,1276,7.849,2.448
2025-12-07T13:27:20.403000+00:00,9839,18,1276,23.831,0.915
2025-12-07T13:27:20.667000+00:00,9839,63,1276,30.98,6.347
2025-12-07T13:27:20.720000+00:00,9839,81,1276,1.766,1.766
2025-12-07T13:27:20.889000+00:00,9839,55,1276,24.308,0.477
2025-12-07T13:27:20.927000+00:00,9839,22,1276,20.772,1.188
2025-12-07T13:27:20.954000+00:00,9839,6,1276,39.543,2.407
2025-12-07T13:27:21.034000+00:00,9839,27,1276,34.067,1.274
2025-12-07T13:27:21.131000+00:00,9839,4,1276,5.38,3.545
2025-12-07T13:27:21.430000+00:00,9839,14,1276,12.03,4.254
2025-12-07T13:27:21.627000+00:00,9839,12,1276,25.038,0.73
